US36 Express lanes,,,,,,,
Westbound  Express Toll Rate,,,,,,,
Time of Day,Lowell,Sheridan,Promenade,Wadsworth,Interlocken,McCaslin,Overlook
05:00-06:00,0.35,0.35,0.35,0.35,0.35,0.35,0.35
06:00-07:15,0.8,0.95,0.95,0.95,0.8,0.95,0.95
07:15-09:00,1.4,1.6,1.6,1.6,1.35,1.6,1.6
09:00-10:00,0.8,0.95,0.95,0.95,0.8,0.95,0.85
10:00-12:00,0.35,0.35,0.35,0.35,0.35,0.35,0.35
12:00-14:00,0.35,0.35,0.35,0.35,0.35,0.35,0.35
14:00-15:00,0.35,0.35,0.35,0.35,0.35,0.35,0.35
15:00-15:30,0.35,0.35,0.35,0.35,0.35,0.35,0.35
15:30-16:15,0.75,0.35,0.35,0.35,0.35,0.35,0.35
16:15-16:30,0.85,0.35,0.35,0.35,0.35,0.35,0.35
16:30-17:45,0.85,0.75,0.75,0.35,0.35,0.35,0.35
17:45-18:00,0.85,0.75,0.75,0.35,0.35,0.35,0.35
18:00-18:15,0.85,0.75,0.35,0.35,0.35,0.35,0.35
18:15-18:30,0.75,0.75,0.35,0.35,0.35,0.35,0.35
18:30-19:00,0.75,0.35,0.35,0.35,0.35,0.35,0.35
19:00-03:00,0.35,0.35,0.35,0.35,0.35,0.35,0.35
03:00-05:00,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Weekends,0.35,0.35,0.35,0.35,0.35,0.35,0.35